FACULTY OF HUMANITIES,,,,,,
"QUALIFICATION
CODE",QUALIFICATION NAME,"SUBJECT
CODE",SUBJECT NAME,"STUDY
PERIOD","SA/SADC STUDENT
FEE","FOREIGN
STUDENT FEE"
,,MEI50AB,"MANAGEMENT OF EDUCATIONAL
INSTITUTIONS V",1,"5 ,320","7,970"
,,PME50AB,"HUMAN RESOURCE MANAGEMENT IN
EDUCATION V",1,"5 ,320","7,970"
,,RES30AB,RESEARCH METHODS AND TECHNIQUES III,1,"5 ,260","7,910"
,,TEO50AB,THEORY OF EDUCATION V,1,"5 ,580","8,400"
H_EDUM,"B ED HONS IN EDUCATION
MANAGEMENT",EDP40AB,EDUCATIONAL PSYCHOLOGY,1,"5 ,580","8,400"
,,FME50AB,FINANCIAL MANAGEMENT IN EDUCATION,1,"5 ,580","8,400"
,,LED10AB,LAW OF EDUCATION I,1,"5 ,860","8,790"
,,MEI50AB,"MANAGEMENT OF EDUCATIONAL
INSTITUTIONS V",1,"5 ,320","7,970"
,,PME50AB,"HUMAN RESOURCE MANAGEMENT IN
EDUCATION V",1,"5 ,320","7,970"
,,RES30AB,RESEARCH METHODS AND TECHNIQUES III,1,"5 ,260","7,910"
M_CMLP,"MASTER OF COMMUNICATION IN
LANGUAGE PRACTISE",VER50AS,DISSERTATION,1,"3 0,390","45,580"
M_EDUC,MASTER OF EDUCATION,EDU8000,MASTER'S DISSERTATION: EDUCATION,1,"3 0,380","45,570"
D_CMLP,"DOCTOR OF COMMUNICATION IN
LANGUAGE PRACTISE",DIS90AS,"ADVANCED RESEARCH PROJECT AND
DISSERTATION",1,"3 7,950","56,920"
D_EDUC,DOCTOR OF EDUCATION,EDU8500,DOCTORAL THESIS: EDUCATION,1,"3 6,760","55,140"
,,,,,,
"FACULTY OF ENGINEERING, BUILT ENVIRONMENT AND IT",,,,,,
"QUALIFICATION
CODE",QUALIFICATION NAME,"SUBJECT
CODE",SUBJECT NAME,"STUDY
PERIOD","SA/SADC STUDENT
FEE","FOREIGN STUDENT
FEE"
HC_CON,"HIGHER CERTIFICATE IN
CONSTRUCTION",CET00BE,"CONSTRUCTION AND THE
ENVIRONMENT",1,"3,450","5 ,170"
,,CMT00BE,CONSTRUCTION MATHEMATICS,1,"3,450","5 ,170"
,,COM00BE,CONSTRUCTION MANAGEMENT,1,"4,640","6 ,960"
,,CTG00BE,CONSTRUCTION TECHNOLOGY,1,"4,640","6 ,960"
,,FCL00BE,FUNDAMENTALS OF CONTRACT LAW,1,"3,450","5 ,170"
,,FHD00BE,"FUNDAMENTALS OF HUMAN
SETTLEMENT DEVELOPMENT",1,"3,450","5 ,170"
,,LCS5001,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"2,950","4 ,420"
,,MET00BE,"MEASUREMENT, ESTIMATING AND
TENDERING",1,"4,640","6 ,960"
,,PBS00BE,PHYSICAL BUILDING SCIENCE,1,"3,450","5 ,170"
,,SES00BE,"SITE ESTABLISHMENT AND
SUPERVISION",1,"4,640","6 ,960"
IEHCRE,"HIGHER CERTIFICATE IN
RENEWABLE ENERGY",DLC5011,BASIC DIGITAL LITERACY,1,"3,290","4 ,940"
,,EEN5011,ELECTRICAL ENGINEERING I,1,"3,800","5 ,700"
,,EIP5012,"ELECTRICAL INSTALLATION
PRACTICE",1,"3,800","5 ,690"
,,HPP5012,"HEALTH AND SAFETY: PRINCIPLES
AND PRACTICE",1,"1,950","2 ,920"
,,LCS5001,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"2,950","4 ,420"
,,LES5011,SOLAR ENERGY SYSTEMS I,1,"3,800","5 ,690"
,,LES5022,SOLAR ENERGY SYSTEMS II,1,"3,800","5 ,690"
,,LWG5012,SMALL WIND GENERATION,1,"3,800","5 ,690"
,,PGS5012,POWER GENERATION AND STORAGE,1,"3,800","5 ,690"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PIM5012,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PPE5011,"APPLIED PHYSICS OF ENERGY
CONVERSION I",1,"3,800","5 ,690"
,,WIS5011,MATHEMATICS IA,1,"1,950","2 ,920"
,,WIS5012,MATHEMATICS IB,1,"1,950","2 ,920"
HC_MET,"HIGHER CERTIFICATE IN
MATHEMATICS FOR
ENGINEERING TECHNOLOGY",MLT115C,Mathematics Literacy,1,"1,900","2 ,820"
,,MPS115C,Mathematics Problem Solving,1,"1,900","2 ,850"
,,SMT115C,Studying Mathematics,1,"1,900","2 ,850"
,,MET1151,"Mathematics for Engineering Technology
1",1,"7,610","11,420"
,,MET1152,"Mathematics for Engineering Technology
2",1,"7,610","11,420"
,,MET1253,"Mathematics for Engineering Technology
3",1,"7,610","11,420"
,,MET1254,"Mathematics for Engineering Technology
4",1,"7,610","11,420"
,,MET1255,"Mathematics for Engineering Technology
5",1,"5,700","8 ,550"
HC_ITC,"HIGHER CERTIFICATE IN
INFORMATION TECHNOLOGY",INL115C,INFORMATION SYSTEMS IA,1,"3,590","5 ,390"
,,INL125C,INFORMATION SYSTEMS IB,1,"3,590","5 ,390"
,,ITS115C,"INFORMATION TECHNOLOGY
TECHNICAL SUPPORT IA",1,"3,590","5 ,390"
,,ITS125C,"INFORMATION TECHNOLOGY
TECHNICAL SUPPORT IB",1,"3,590","5 ,390"
,,LCS5011,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,LCS5012,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,SYS115C,"SYSTEM AND APPLICATION
SOFTWARE IA",1,"2,990","4 ,490"
,,SYS125C,"SYSTEM AND APPLICATION
SOFTWARE IB",1,"2,990","4 ,490"
,,USS115C,USER SUPPORT IA,1,"2,990","4 ,490"
,,USS125C,USER SUPPORT IB,1,"2,990","4 ,490"
DP_CMN,"DIPLOMA IN COMPUTER
NETWORKING",ITE115C,"INFORMATION TECHNOLOGY
ESSENTIALS I",1,"3,490","5 ,230"
,,ITE125C,"INFORMATION TECHNOLOGY
ESSENTIALS I",1,"3,590","5 ,390"
,,ITM115C,"INFORMATION TECHNOLOGY
MATHEMATICS I",1,"3,020","4 ,520"
,,ITM125C,"INFORMATION TECHNOLOGY
MATHEMATICS I",1,"3,110","4 ,670"
,,LCS5011,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,LCS5012,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PIM5012,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PSA115C,"PROBLEM SOLVING AND
ALGORITHMS",1,"3,490","5 ,230"
,,SPG115C,SYSTEMS SOFTWARE I A,1,"3,490","5 ,230"
,,SPG125C,SYSTEMS SOFTWARE I B,1,"3,590","5 ,390"
,,SSD125C,"SYSTEM SOFTWARE DEVELOPMENT
I",1,"3,590","5 ,390"
,,CMN216C,COMMUNICATION NETWORKS II A,2,"3,490","5 ,230"
,,CMN226C,COMMUNICATION NETWORKS II B,2,"3,590","5 ,390"
,,DBS216C,DATABASES II,2,"3,590","5 ,390"
,,SPG216C,SYSTEMS SOFTWARE II A,2,"3,490","5 ,230"
,,SPG226C,SYSTEMS SOFTWARE II B,2,"3,590","5 ,390"
,,SSD216C,"SYSTEM SOFTWARE DEVELOPMENT
II",2,"3,490","5 ,230"
,,SSD226C,"SYSTEM SOFTWARE DEVELOPMENT
II",2,"3,590","5 ,390"
,,SSE226C,SYSTEM SOFTWARE ENGINEERING II,2,"3,590","5 ,390"
,,CMN327W,"WORK INTEGRATED LEARNING IN
COMP NETWORKING",3,"17,430","26,140"
,,CNR316C,"COMMUNICATION NETWORKS
ROUTING III",3,"3,490","5 ,230"
,,CNS316C,"COMMUNICATION NETWORKS
SWITCHING III",3,"3,490","5 ,230"
,,SSD316C,"SYSTEM SOFTWARE DEVELOPMENT
III",3,"3,490","5 ,230"
,,SSE316C,"SYSTEM SOFTWARE ENGINEERING
III",3,"3,490","5 ,230"
EX_CMN,"DIPLOMA IN COMPUTER
NETWORKING",FIT115C,FOUNDATION OF IT ESSENTIALS IA,1,"3,490","5 ,230"
,,FIT125C,FOUNDATION OF IT ESSENTIALS IB,1,"3,490","5 ,230"
,,LCS5011,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,LCS5012,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,LSK115E,LIFE SKILLS 1 A,1,"3,490","5 ,240"
,,LSK125E,LIFE SKILLS 1 B,1,"3,490","5 ,210"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PIM5012,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PPC115C,PROGRAMMING PRINCIPLES 1 A,1,"3,490","5 ,230"
,,PPC125C,PROGRAMMING PRINCIPLES 1 B,1,"3,490","5 ,230"
,,ITE125C,"INFORMATION TECHNOLOGY
ESSENTIALS I",2,"3,590","5 ,390"
,,ITM115C,"INFORMATION TECHNOLOGY
MATHEMATICS I",2,"3,020","4 ,520"
,,ITM125C,"INFORMATION TECHNOLOGY
MATHEMATICS I",2,"3,110","4 ,670"
,,SPG115C,SYSTEMS SOFTWARE I A,2,"3,490","5 ,230"
,,SPG125C,SYSTEMS SOFTWARE I B,2,"3,590","5 ,390"
,,SSD115C,"SYSTEM SOFTWARE DEVELOPMENT
I",2,"3,490","5 ,230"
,,SSD125C,"SYSTEM SOFTWARE DEVELOPMENT
I",2,"3,590","5 ,390"
,,CMN216C,COMMUNICATION NETWORKS II A,3,"3,490","5 ,230"
,,CMN226C,COMMUNICATION NETWORKS II B,3,"3,590","5 ,390"
,,DBS216C,DATABASES II,3,"3,590","5 ,390"
,,SPG216C,SYSTEMS SOFTWARE II A,3,"3,490","5 ,230"
,,SPG226C,SYSTEMS SOFTWARE II B,3,"3,590","5 ,390"
,,SSD216C,"SYSTEM SOFTWARE DEVELOPMENT
II",3,"3,490","5 ,230"
,,SSD226C,"SYSTEM SOFTWARE DEVELOPMENT
II",3,"3,590","5 ,390"
,,SSE226C,SYSTEM SOFTWARE ENGINEERING II,3,"3,590","5 ,390"
,,CMN327W,"WORK INTEGRATED LEARNING IN
COMP NETWORKING",4,"17,430","26,140"
,,CNR316C,"COMMUNICATION NETWORKS
ROUTING III",4,"3,490","5 ,230"
,,CNS316C,"COMMUNICATION NETWORKS
SWITCHING III",4,"3,490","5 ,230"
,,SSD316C,"SYSTEM SOFTWARE DEVELOPMENT
III",4,"3,490","5 ,230"
,,SSE316C,"SYSTEM SOFTWARE ENGINEERING
III",4,"3,490","5 ,230"
DP_CVL,"DIPLOMA IN ENG TECH IN CIVIL
ENGINEERING",BDL11A,BASIC DIGITAL LITERACY,1,"3,990","5 ,980"
,,CAM11A,APPLIED MECHANICS,1,"3,710","5 ,570"
,,CCM11A,CONSTRUCTION MATERIALS,1,"4,640","6 ,960"
,,CDR12A,DRAWING I,1,"4,650","6 ,970"
,,CMT12A,CONSTRUCTION METHODS,1,"4,650","6 ,970"
,,CSM12A,SOIL MECHANICS,1,"4,650","6 ,970"
,,CTS12A,THEORY OF STRUCTURES,1,"4,650","6 ,970"
,,LCS5011,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,MAT11A,MATHEMATICS I,1,"4,640","6 ,960"
,,MAT12A,MATHEMATICS II,1,"4,640","6 ,960"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,CDR21A,DRAWINGS II,2,"4,640","6 ,960"
,,CDS21A,DESIGN OF STRUCTURES I,2,"4,640","6 ,960"
,,CDS22A,DESIGN OF STRUCTURES II,2,"4,640","6 ,960"
,,CHD22A,HYDRAULICS,2,"4,640","6 ,960"
,,CHY21A,HYDROLOGY,2,"4,640","6 ,960"
,,CPM22A,"ENGINEERING PROJECT
MANAGEMENT",2,"4,640","6 ,960"
,,CSU21A,SURVEYING I,2,"4,640","6 ,960"
,,CSU22A,SURVEYING II,2,"4,640","6 ,960"
,,CTE21A,TRANSPORATION ENGINEERING I,2,"4,640","6 ,960"
,,CTE22A,TRANSPORTATION ENGINEERING II,2,"4,640","6 ,960"
DP_ELE,"DIPLOMA IN ENGINEERING TECH
ELECTRICAL ENGINEERING",BDL11A,BASIC DIGITAL LITERACY,1,"3,990","5 ,980"
,,EDS125A,DIGITAL SYSTEMS II,1,"3,990","5 ,980"
,,EEN125A,ELECTRICAL ENGINEERING II,1,"3,660","5 ,490"
,,ELA125A,ELECTRONIC APPLICATIONS II,1,"3,660","5 ,480"
,,ELE115A,ELECTRONIC FUNDAMENTALS I,1,"3,660","5 ,490"
,,EPG125A,PROGRAMMING I,1,"3,660","5 ,490"
,,LCS5011,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,MAT115A,MATHEMATICS I,1,"3,660","5 ,490"
,,MAT126A,MATHEMATICS II,1,"3,660","5 ,490"
,,MAT216A,MATHEMATICS III,1,"3,660","5 ,490"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PIM5012,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,ECM226A,ELECTRONIC COMMUNICATION III,2,"3,650","5 ,490"
,,ECS226A,CONTROL SYSTEMS III,2,"3,650","5 ,490"
,,EDP226A,DESIGN PROJECT III,2,"4,540","6 ,370"
,,EDS216A,DIGITAL SYSTEMS III,2,"3,650","5 ,460"
,,EID226A,INDUSTRIAL ELECTRONICS III,2,"3,650","5 ,490"
,,ELA216A,ELECTRONIC APPLICATIONS III,2,"3,650","5 ,460"
,,ELM216A,ELECTRICAL MACHINES II,2,"3,650","5 ,460"
,,ENS226A,ENERGY SYSTEMS III,2,"3,650","5 ,490"
,,ENS226B,ENERGY SYSTEMS III,2,"3,650","5 ,490"
,,ENW216A,NETWORK SYSTEMS II,2,"3,650","5 ,490"
DP_ITC,"DIPLOMA IN INFORMATION
TECHNOLOGY",INP125C,INTERNET PROGRAMMING I,1,"3,590","5 ,390"
,,ITE115C,"INFORMATION TECHNOLOGY
ESSENTIALS I",1,"3,490","5 ,230"
,,ITE125C,"INFORMATION TECHNOLOGY
ESSENTIALS I",1,"3,590","5 ,390"
,,ITM115C,"INFORMATION TECHNOLOGY
MATHEMATICS I",1,"3,020","4 ,520"
,,ITM125C,"INFORMATION TECHNOLOGY
MATHEMATICS I",1,"3,110","4 ,670"
,,LCS5011,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,LCS5012,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PIM5012,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PSA115C,"PROBLEM SOLVING AND
ALGORITHMS",1,"3,490","5 ,230"
,,SOD115C,SOFTWARE DEVELOPMENT I,1,"3,490","5 ,230"
,,SOD125C,SOFTWARE DEVELOPMENT I,1,"3,590","5 ,390"
,,DBS216C,DATABASES II,2,"3,590","5 ,390"
,,GID216C,GRAPHIC DESIGN II,2,"3,490","5 ,230"
,,GUD226C,"GRAPHICAL USER INTERFACE
DESIGN II",2,"3,590","5 ,390"
,,INT226C,INTERNET TECHNOLOGIES II,2,"3,590","5 ,390"
,,SOD216C,SOFTWARE DEVELOPMENT II A,2,"3,490","5 ,230"
,,SOD226C,SOFTWARE DEVELOPMENT II B,2,"3,590","5 ,390"
,,SOE226C,SOFTWARE ENGINEERING II,2,"3,590","5 ,390"
,,TPG216C,TECHNICAL PROGRAMMING II A,2,"3,590","5 ,390"
,,TPG226C,TECHNICAL PROGRAMMING II B,2,"3,590","5 ,390"
,,WEB215C,WEB CONTENT MANAGEMENT II,2,"3,590","5 ,390"
,,CMN316C,COMMUNICATION NETWORKS II,3,"3,490","5 ,230"
,,ITC327W,"WORK INTEGRATED LEARNING IN
INFO TECHNOLOGY",3,"17,430","26,140"
,,ITS316C,"INFORMATION TECHNOLOGY AND
SOCIETY I",3,"3,490","5 ,230"
,,SOD316C,SOFTWARE DEVELOPMENT III,3,"3,490","5 ,230"
,,SOE316C,SOFTWARE ENGINEERING III,3,"3,490","5 ,230"
,,TPG316C,TECHNICAL PROGRAMMING III,3,"3,490","5 ,230"
EX_ITC,"DIPLOMA IN INFORMATION
TECHNOLOGY",FIT115C,FOUNDATION OF IT ESSENTIALS IA,1,"3,490","5 ,230"
,,FIT125C,FOUNDATION OF IT ESSENTIALS IB,1,"3,490","5 ,230"
,,LCS5011,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,LCS5012,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,LSK115E,LIFE SKILLS 1 A,1,"3,490","5 ,240"
,,LSK125E,LIFE SKILLS 1 B,1,"3,490","5 ,210"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PIM5012,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PPC115C,PROGRAMMING PRINCIPLES 1 A,1,"3,490","5 ,230"
,,PPC125C,PROGRAMMING PRINCIPLES 1 B,1,"3,490","5 ,230"
,,INP125C,INTERNET PROGRAMMING I,2,"3,590","5 ,390"
,,ITE125C,"INFORMATION TECHNOLOGY
ESSENTIALS I",2,"3,590","5 ,390"
,,ITM115C,"INFORMATION TECHNOLOGY
MATHEMATICS I",2,"3,020","4 ,520"
,,ITM125C,"INFORMATION TECHNOLOGY
MATHEMATICS I",2,"3,110","4 ,670"
,,SOD115C,SOFTWARE DEVELOPMENT I,2,"3,490","5 ,230"
,,SOD125C,SOFTWARE DEVELOPMENT I,2,"3,590","5 ,390"
,,DBS216C,DATABASES II,3,"3,590","5 ,390"
,,GID216C,GRAPHIC DESIGN II,3,"3,490","5 ,230"
,,GUD226C,"GRAPHICAL USER INTERFACE
DESIGN II",3,"3,590","5 ,390"
,,INT226C,INTERNET TECHNOLOGIES II,3,"3,590","5 ,390"
,,SOD216C,SOFTWARE DEVELOPMENT II A,3,"3,490","5 ,230"
,,SOD226C,SOFTWARE DEVELOPMENT II B,3,"3,590","5 ,390"
,,SOE226C,SOFTWARE ENGINEERING II,3,"3,590","5 ,390"
,,TPG216C,TECHNICAL PROGRAMMING II A,3,"3,590","5 ,390"
,,TPG226C,TECHNICAL PROGRAMMING II B,3,"3,590","5 ,390"
,,WEB215C,WEB CONTENT MANAGEMENT II,3,"3,590","5 ,390"
,,CMN316C,COMMUNICATION NETWORKS II,4,"3,490","5 ,230"
,,ITS316C,"INFORMATION TECHNOLOGY AND
SOCIETY I",4,"3,490","5 ,230"
,,SOD316C,SOFTWARE DEVELOPMENT III,4,"3,490","5 ,230"
,,SOE316C,SOFTWARE ENGINEERING III,4,"3,490","5 ,230"
,,TPG316C,TECHNICAL PROGRAMMING III,4,"3,490","5 ,230"
DP_MEC,"DIPLOMA IN ENG TECH IN
MECHANICAL ENGINEERING",BDL11A,BASIC DIGITAL LITERACY,1,"3,990","5 ,980"
,,EEN12A,ELECTRICAL ENGINEERING I,1,"4,640","6 ,960"
,,LCS5011,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,MAT11A,MATHEMATICS I,1,"4,640","6 ,960"
,,MAT12A,MATHEMATICS II,1,"4,640","6 ,960"
,,MDR12A,MECHANICAL DRAWING I,1,"4,640","6 ,960"
,,MMC11A,MECHANICS I,1,"4,640","6 ,960"
,,MMM12A,MECHANICS OF MACHINES I,1,"4,640","6 ,960"
,,MMN11A,MANUFACTURING I,1,"4,640","6 ,960"
,,MMT12A,MATERIALS I,1,"4,640","6 ,960"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,MAT21A,MATHEMATICS III,2,"4,640","6 ,960"
,,MED21A,"MECHANICAL ENGINEERING DESIGN
I",2,"4,640","6 ,960"
,,MED22A,"MECHANICAL ENGINEERING DESIGN
II",2,"4,640","6 ,960"
,,MFM21A,FLUID MECHANICS I,2,"4,640","6 ,960"
,,MFM22A,FLUID MECHANICS II,2,"4,640","6 ,960"
,,MMM22A,MECHANICS OF MACHINES II,2,"4,640","6 ,960"
,,MSM21A,STRENGTH OF MATERIALS I,2,"4,640","6 ,960"
,,MSM22A,STRENGTH OF MATERIALS II,2,"4,640","6 ,960"
,,MTH21A,THERMODYNAMICS I,2,"4,640","6 ,960"
,,MTH22A,THERMODYNAMICS II,2,"4,640","6 ,960"
EXNDEC,"N DIP ENGINEERING:
ELECTRICAL (ELECTRONICS)",FIS01CP,PHYSICS,1,"1,870","2 ,800"
,,WIS01CP,MATHEMATICS,1,"1,870","2 ,800"
,,EDS21BI,DIGITAL SYSTEMS II,2,"3,660","5 ,490"
,,EDS22BI,DIGITAL SYSTEMS II,2,"3,830","5 ,740"
,,EDS31BI,DIGITAL SYSTEMS III,2,"3,660","5 ,490"
,,EDS32BI,DIGITAL SYSTEMS III,2,"3,660","5 ,490"
,,EEN21AI,ELECTRICAL ENGINEERING II,2,"3,660","5 ,490"
,,EEN22AI,ELECTRICAL ENGINEERING II,2,"3,830","5 ,740"
,,ELA31BI,ELECTRONICS III,2,"4,370","6 ,560"
,,ELA32BI,ELECTRONICS III,2,"3,830","5 ,740"
,,ELE21AI,ELECTRONICS II,2,"3,830","5 ,740"
,,ELE22AI,ELECTRONICS II,2,"3,660","5 ,490"
,,EMJ21AI,ELECTRICAL MACHINES II,2,"3,660","5 ,490"
,,EPR11AI,PROJECTS I,2,"4,530","6 ,800"
,,EPR12AI,PROJECTS I,2,"4,530","6 ,800"
,,WIS21AI,MATHEMATICS II,2,"3,660","5 ,490"
,,WIS22AI,MATHEMATICS II,2,"3,830","5 ,740"
,,WIS31AI,MATHEMATICS III,2,"3,660","5 ,490"
,,WIS32AI,MATHEMATICS III,2,"3,830","5 ,740"
,,ECN32BI,CONTROL SYSTEMS III,3,"3,830","5 ,740"
,,EDP31LI,"DESIGN PROJECT III (LIGHT
CURRENT)",3,"2,290","3 ,430"
,,EDP32LI,"DESIGN PROJECT III (LIGHT
CURRENT)",3,"2,400","3 ,590"
,,EKM21AI,ELECTRONIC COMMUNICATION II,3,"3,660","5 ,490"
,,EKM22AI,ELECTRONIC COMMUNICATION II,3,"3,830","5 ,740"
,,ELT31AI,ELECTRONIC APPLICATIONS III,3,"4,370","6 ,560"
,,ELT32AI,ELECTRONIC APPLICATIONS III,3,"4,550","6 ,820"
,,EPR21AI,PROJECTS II,3,"4,530","6 ,800"
,,EPR22AI,PROJECTS II,3,"4,670","7 ,000"
,,ERE31AI,RADIO ENGINEERING III,3,"4,370","6 ,560"
,,ERE32AI,RADIO ENGINEERING III,3,"4,550","6 ,820"
,,ESO21AI,SOFTWARE DESIGN II,3,"4,370","6 ,560"
,,ESO22AI,SOFTWARE DESIGN II,3,"4,550","6 ,820"
,,LOG31BI,LOGIC DESIGN III,3,"4,370","6 ,560"
,,LOG32BI,LOGIC DESIGN III,3,"4,550","6 ,820"
,,EEX11ZI,WORK INTEGRATED LEARNING I,4,"2,140","3 ,210"
,,EEX21ZI,WORK INTEGRATED LEARNING II,4,"2,140","3 ,210"
,,EEX22ZI,WORK INTEGRATED LEARNING II,4,"2,140","3 ,210"
EXNDEL,"N DIP ENGINEERING:
ELECTRICAL (ECP)",EDS11BI,DIGITAL SYSTEMS I,1,"3,400","5 ,100"
,,FIS01CP,PHYSICS,1,"1,870","2 ,800"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,EDS21BI,DIGITAL SYSTEMS II,2,"3,660","5 ,490"
,,EDS22BI,DIGITAL SYSTEMS II,2,"3,830","5 ,740"
,,EDS31BI,DIGITAL SYSTEMS III,2,"3,660","5 ,490"
,,EDS32BI,DIGITAL SYSTEMS III,2,"3,660","5 ,490"
,,EEN21AI,ELECTRICAL ENGINEERING II,2,"3,660","5 ,490"
,,EEN22AI,ELECTRICAL ENGINEERING II,2,"3,830","5 ,740"
,,EEN31AI,ELECTRICAL ENGINEERING III,2,"4,370","6 ,560"
,,EEN32AI,ELECTRICAL ENGINEERING III,2,"4,550","6 ,820"
,,EID22AI,INDUSTRIAL ELECTRONICS II,2,"3,830","5 ,740"
,,ELA31BI,ELECTRONICS III,2,"4,370","6 ,560"
,,ELA32BI,ELECTRONICS III,2,"3,830","5 ,740"
,,ELE21AI,ELECTRONICS II,2,"3,830","5 ,740"
,,ELE22AI,ELECTRONICS II,2,"3,660","5 ,490"
,,EMD11AI,MECHANICAL TECHNOLOGY I,2,"3,830","5 ,740"
,,EMD12AI,MECHANICAL TECHNOLOGY I,2,"3,830","5 ,740"
,,EMJ21AI,ELECTRICAL MACHINES II,2,"3,660","5 ,490"
,,EMJ22AI,ELECTRICAL MACHINES II,2,"3,830","5 ,740"
,,EMJ32AI,ELECTRICAL MACHINES III,2,"3,830","5 ,740"
,,EPR11AI,PROJECTS I,2,"4,530","6 ,800"
,,EPR12AI,PROJECTS I,2,"4,530","6 ,800"
,,EVE32AI,ELECTRICAL DISTRIBUTION III,2,"3,830","5 ,740"
,,MSM21AI,STRENGTH OF MATERIALS II,2,"3,830","5 ,740"
,,MSM22AI,STRENGTH OF MATERIALS II,2,"3,830","5 ,740"
,,WIS22AI,MATHEMATICS II,2,"3,830","5 ,740"
,,WIS31AI,MATHEMATICS III,2,"3,660","5 ,490"
,,WIS32AI,MATHEMATICS III,2,"3,830","5 ,740"
,,EBE31AI,ELECTRICAL PROTECTION III,3,"3,660","5 ,490"
,,EBE32AI,ELECTRICAL PROTECTION III,3,"3,830","5 ,740"
,,ECN32BI,CONTROL SYSTEMS III,3,"3,830","5 ,740"
,,EDP31HI,"DESIGN PROJECT III (HEAVY
CURRENT)",3,"2,290","3 ,430"
,,EDP32HI,"DESIGN PROJECT III (HEAVY
CURRENT)",3,"2,290","3 ,430"
,,EID21AI,INDUSTRIAL ELECTRONICS II,3,"3,660","5 ,490"
,,EKM21AI,ELECTRONIC COMMUNICATION II,3,"3,660","5 ,490"
,,EKM22AI,ELECTRONIC COMMUNICATION II,3,"3,830","5 ,740"
,,ELT31AI,ELECTRONIC APPLICATIONS III,3,"4,370","6 ,560"
,,ELT32AI,ELECTRONIC APPLICATIONS III,3,"4,550","6 ,820"
,,EMD21AI,MECHANICAL TECHNOLOGY II,3,"3,830","5 ,740"
,,EMD22AI,MECHANICAL TECHNOLOGY II,3,"3,830","5 ,740"
,,EMD31AI,MECHANICAL TECHNOLOGY III,3,"3,660","5 ,490"
,,EMD32AI,MECHANICAL TECHNOLOGY III,3,"3,830","5 ,740"
,,EMJ31AI,ELECTRICAL MACHINES III,3,"3,830","5 ,740"
,,EPE31AI,POWER ELECTRONICS III,3,"3,660","5 ,490"
,,EPE32AI,POWER ELECTRONICS III,3,"3,830","5 ,740"
,,EPR21AI,PROJECTS II,3,"4,530","6 ,800"
,,EPR22AI,PROJECTS II,3,"4,670","7 ,000"
,,ERE31AI,RADIO ENGINEERING III,3,"4,370","6 ,560"
,,ERE32AI,RADIO ENGINEERING III,3,"4,550","6 ,820"
,,ESO21AI,SOFTWARE DESIGN II,3,"4,370","6 ,560"
,,ESO22AI,SOFTWARE DESIGN II,3,"4,550","6 ,820"
,,EVE31AI,ELECTRICAL DISTRIBUTION III,3,"3,660","5 ,490"
,,LOG31BI,LOGIC DESIGN III,3,"4,370","6 ,560"
,,LOG32BI,LOGIC DESIGN III,3,"4,550","6 ,820"
,,MSK31AI,"APPLIED STRENGTH OF MATERIALS
III",3,"3,660","5 ,490"
,,MSK32AI,"APPLIED STRENGTH OF MATERIALS
III",3,"3,830","5 ,740"
